OpalApple,2wFILyz3whKS43ZmSLdNYJ,Kahin Door Jab Din Dhal Jaye,Mukesh,"{'acousticness': 0.852, 'danceability': 0.524, 'energy': 0.423, 'instrumentalness': 1.04e-06, 'liveness': 0.301, 'loudness': -7.392, 'speechiness': 0.0348, 'valence': 0.484, 'tempo': 91.372}",True,False,False,False
OpalApple,3DoJwc1XxiL9q79DZBzjNk,"Ruk Jana Nahin (From ""Imtihan"")",Kishore Kumar,"{'acousticness': 0.967, 'danceability': 0.323, 'energy': 0.355, 'instrumentalness': 0.0301, 'liveness': 0.296, 'loudness': -11.311, 'speechiness': 0.0343, 'valence': 0.275, 'tempo': 128.961}",True,False,False,False
OpalApple,20cqpJq6UspwjawaL6o1dF,Kisi Ki Muskurahaton Se,Mukesh,"{'acousticness': 0.75, 'danceability': 0.394, 'energy': 0.303, 'instrumentalness': 2.04e-05, 'liveness': 0.0656, 'loudness': -13.401, 'speechiness': 0.0486, 'valence': 0.837, 'tempo': 207.806}",True,False,False,False
OpalApple,5VGNtow5pqQXFa0a1QAIBb,"Ajib Dastan Hai Yeh (From ""Dil Apna Aur Preet Parai"")",Lata Mangeshkar,"{'acousticness': 0.875, 'danceability': 0.566, 'energy': 0.412, 'instrumentalness': 0.00314, 'liveness': 0.204, 'loudness': -12.63, 'speechiness': 0.0309, 'valence': 0.679, 'tempo': 102.478}",True,False,False,False
OpalApple,3HHyQnGI6jGiEor7XL4cwb,"En Iniya Pon Nilave Pon (From ""Moodu Pani"")",K. J. Yesudas,"{'acousticness': 0.958, 'danceability': 0.465, 'energy': 0.526, 'instrumentalness': 0.201, 'liveness': 0.0419, 'loudness': -6.529, 'speechiness': 0.0491, 'valence': 0.595, 'tempo': 149.581}",True,True,False,False
OpalApple,42NWXVKyoMuu3lTJicyZCn,Ilaya Nila Pozhigirathe,S. P. Balasubrahmanyam,"{'acousticness': 0.921, 'danceability': 0.64, 'energy': 0.397, 'instrumentalness': 0.00399, 'liveness': 0.101, 'loudness': -13.213, 'speechiness': 0.0638, 'valence': 0.763, 'tempo': 80.398}",True,False,False,False
OpalApple,6C0Gth9Q9hmyFu2FFGje3W,Yeh Hawa Yeh Fiza Aa Bhi Ja,Mahendra Kapoor,"{'acousticness': 0.989, 'danceability': 0.513, 'energy': 0.24, 'instrumentalness': 0.00734, 'liveness': 0.0854, 'loudness': -11.028, 'speechiness': 0.031, 'valence': 0.365, 'tempo': 101.052}",True,False,False,False
OpalApple,1lq55yqSIDg3ZzDHai2Eot,"Yeh Raaten Yeh Mausam (From ""Dilli Ka Thug"")",Kishore Kumar,"{'acousticness': 0.976, 'danceability': 0.505, 'energy': 0.216, 'instrumentalness': 1.64e-06, 'liveness': 0.146, 'loudness': -12.355, 'speechiness': 0.0508, 'valence': 0.709, 'tempo': 148.791}",True,False,False,False
OpalApple,3hDr0KzuwkMJMJfGNCNgIu,"Senthazhampoovil (From ""Mullum Malarum"")",K. J. Yesudas,"{'acousticness': 0.903, 'danceability': 0.416, 'energy': 0.672, 'instrumentalness': 0.00524, 'liveness': 0.111, 'loudness': -3.395, 'speechiness': 0.0345, 'valence': 0.834, 'tempo': 78.235}",True,False,False,False
OpalApple,5Mr3DuMy1019iwWVWlyRkH,"Kakkai Chiraginiley, Pt. 1",K. J. Yesudas,"{'acousticness': 0.531, 'danceability': 0.597, 'energy': 0.413, 'instrumentalness': 0, 'liveness': 0.197, 'loudness': -8.398, 'speechiness': 0.0268, 'valence': 0.646, 'tempo': 90.601}",True,False,False,False
